dataset,model,acc,time,args,source
squirrel,GloGNN,35.39±1.70,156.94,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0001, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GloGNN', 'dropout': 0.1, 'alpha': 10, 'beta': 100, 'gamma': 0, 'delta': 0, 'norm_layers': 1, 'orders': 4, 'norm_func_id': 1, 'early_stopping': 100, 'nhid': 64, 'orders_func_id': 2, 'nnodes': 2223}",critical
blogcatalog,GGCN,96.09±0.55,185.07,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GGCN', 'dropout': 0.7, 'decay_rate': 0.8, 'nlayers': 4, 'use_sparse': False, 'use_degree': True, 'use_sign': True, 'use_decay': True, 'use_bn': False, 'use_ln': False, 'exponent': 3.0, 'scale_init': 0.5, 'deg_intercept_init': 0.5}",cola
pubmed,MLP,87.68±0.51,102.06,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MLP', 'dropout': 0.5}",pyg
photo,GPRGNN,95.51±0.39,102.01,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.002, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GPRGNN', 'alpha': 0.5, 'nlayers': 4, 'dprate': 0, 'init': 'PPR', 'dropout': 0.5, 'gamma': None}",pyg
photo,OrderedGNN,95.87±0.24,260.78,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'OrderedGNN', 'dropout': 0.3, 'dropout2': 0.2, 'global_gating': True, 'num_layers_input': 1, 'chunk_size': 64, 'hidden_channel': 512, 'num_layers': 8, 'add_self_loops': False, 'simple_gating': False, 'tm': True, 'diff_or': True}",pyg
actor,GPRGNN,35.79±1.04,25.72,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GPRGNN', 'alpha': 0.9, 'nlayers': 8, 'dprate': 0, 'init': 'PPR', 'dropout': 0.5, 'gamma': None}",pyg
wikics,MLP,73.51±1.18,87.97,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 5e-05, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MLP', 'dropout': 0}",pyg
actor,OrderedGNN,36.95±0.85,62.87,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 5e-06, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'OrderedGNN', 'dropout': 0.3, 'dropout2': 0.2, 'global_gating': True, 'num_layers_input': 2, 'chunk_size': 64, 'hidden_channel': 256, 'num_layers': 8, 'add_self_loops': False, 'simple_gating': False, 'tm': True, 'diff_or': True}",pyg
flickr,GCNII,91.36±0.68,503.32,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 8, 'model': 'GCNII', 'dropout': 0.5, 'alpha': 0.2, 'lammbda': 0.5, 'variant': False}",cola
pubmed,GPRGNN,89.45±0.61,115.39,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.002, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GPRGNN', 'alpha': 0.9, 'nlayers': 4, 'dprate': 0, 'init': 'PPR', 'dropout': 0.5, 'gamma': None}",pyg
pubmed,ACMGCN,89.95±0.50,259.40,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'ACMGCN', 'dropout': 0.3, 'structure_info': 0, 'variant': 1, 'nhid': 64, 'nlayers': 1, 'init_layers_X': 1, 'acm_model': 'acmgcnp', 'nnodes': 19717}",pyg
flickr,GCN,69.06±1.70,631.52,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 2, 'model': 'GCN', 'dropout': 0.5}",cola
blogcatalog,MixHop,96.05±0.48,306.28,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MixHop', 'layers_1': [200, 200, 200], 'dropout': 0.5, 'layers_2': [200, 200, 200], 'lambd': 0.0005, 'cut_off': 0.1, 'budget': 60}",cola
photo,GGCN,95.32±0.27,265.28,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GGCN', 'dropout': 0.6, 'decay_rate': 0.8, 'nlayers': 2, 'use_sparse': False, 'use_degree': True, 'use_sign': True, 'use_decay': True, 'use_bn': False, 'use_ln': False, 'exponent': 3.0, 'scale_init': 0.5, 'deg_intercept_init': 0.5}",pyg
pubmed,OrderedGNN,90.01±0.40,151.49,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'OrderedGNN', 'dropout': 0.4, 'dropout2': 0.1, 'global_gating': True, 'num_layers_input': 3, 'chunk_size': 64, 'hidden_channel': 256, 'num_layers': 8, 'add_self_loops': False, 'simple_gating': False, 'tm': True, 'diff_or': True}",pyg
wikics,ACMGCN,84.13±0.66,98.65,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'ACMGCN', 'dropout': 0.4, 'structure_info': 1, 'variant': 1, 'nhid': 64, 'nlayers': 1, 'init_layers_X': 1, 'acm_model': 'acmgcnp', 'nnodes': 11701}",pyg
chameleon,GBKGNN,41.52±2.36,818.69,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.01, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GBKGNN', 'lamda': 28, 'dim_size': 16}",critical
